config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.001,0.4,0.01,506,0.28057329058647157,0.9036111116409302,0.8651044,1.0,0.75625,0.9269699,0.8082975,0.88201267,0.88689137,24.2,7.8,0.0,48.8,0.32662553787231446,0.8823529481887817,0.8378378,1.0,0.7,0.91176474,0.765824,0.8644354,0.8682264,28.0,12.0,0.0,62.0
1,0.0001,0.4,0.01,506,0.2993511497974396,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.8827009,0.88005924,23.6,8.4,0.0,48.8,0.2730216920375824,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.8825,0.88950044,31.0,9.0,0.0,62.0
2,0.01,0.4,0.1,506,0.31014457643032073,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.87891024,0.8916601,23.4,8.6,0.0,48.8,0.2748614907264709,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.87818545,0.85949147,32.0,8.0,0.0,62.0
3,0.0001,0.2,0.1,506,0.2914175719022751,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.9030758,0.9025995,24.4,7.6,0.0,48.8,0.358138781785965,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.7923387,0.78474504,27.0,13.0,0.0,62.0
4,0.01,0.2,0.1,506,0.3027417480945587,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.86022395,0.8600804,23.6,8.4,0.0,48.8,0.27079675793647767,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.9052823,0.9161779,31.0,9.0,0.0,62.0
5,0.01,0.4,0.001,506,0.290494892001152,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.79816014,0.8836031,0.8804762,23.8,8.2,0.0,48.8,0.2891833782196045,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.87471783,0.8694021,30.0,10.0,0.0,62.0
6,0.0001,0.0,0.001,506,0.2962677776813507,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8699298,0.8699592,23.8,8.2,0.0,48.8,0.28622178435325624,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.87935483,0.8806019,30.0,10.0,0.0,62.0
7,0.01,0.4,0.01,506,0.2743626981973648,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.9056853,0.9182714,24.4,7.6,0.0,48.8,0.355740362405777,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.80407256,0.8098341,27.0,13.0,0.0,62.0
8,0.001,0.4,0.001,506,0.2884453386068344,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.88583386,0.8872603,23.8,8.2,0.0,48.8,0.2964067399501801,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8340726,0.81645757,30.0,10.0,0.0,62.0
9,0.001,0.4,0.1,506,0.31298903226852415,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.85577697,0.85324633,23.2,8.8,0.0,48.8,0.24817655682563783,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.9189113,0.9207142,33.0,7.0,0.0,62.0
