config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.0,0.001,506,0.2753724992275238,0.9036111116409302,0.8651044,1.0,0.75625,0.9269699,0.8082975,0.8898996,0.9009916,24.2,7.8,0.0,48.8,0.33947598934173584,0.8823529481887817,0.8378378,1.0,0.7,0.91176474,0.765824,0.85588706,0.8529027,28.0,12.0,0.0,62.0
1,0.0001,0.0,0.001,506,0.29793969094753264,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.8849117,0.88633156,23.6,8.4,0.0,48.8,0.27231684923171995,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.8833065,0.8992404,31.0,9.0,0.0,62.0
2,0.01,0.4,0.001,506,0.2959690749645233,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.8784372,0.88362694,23.4,8.6,0.0,48.8,0.2580397427082062,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.8852822,0.8737236,32.0,8.0,0.0,62.0
3,0.01,0.2,0.1,506,0.30822816491127014,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.89045364,0.8951229,24.4,7.6,0.0,48.8,0.37357619404792786,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.79508066,0.76280534,27.0,13.0,0.0,62.0
4,0.0001,0.0,0.001,506,0.3019715458154678,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.864752,0.8659482,23.6,8.4,0.0,48.8,0.269145005941391,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.9001209,0.9017208,31.0,9.0,0.0,62.0
5,0.01,0.0,0.001,506,0.28946726620197294,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.79816014,0.88567305,0.8996717,23.8,8.2,0.0,48.8,0.28409274816513064,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8968145,0.9019742,30.0,10.0,0.0,62.0
6,0.0001,0.2,0.001,506,0.29548404812812806,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8682664,0.868622,23.8,8.2,0.0,48.8,0.2853337526321411,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8810484,0.88254565,30.0,10.0,0.0,62.0
7,0.01,0.4,0.001,506,0.2710799008607864,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.91000617,0.9094368,24.4,7.6,0.0,48.8,0.37142422795295715,0.870588219165802,0.8261982,0.9967742,0.675,0.9034993,0.7417607,0.796492,0.7966489,27.0,13.0,0.2,61.8
8,0.0001,0.0,0.001,506,0.28996510803699493,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.89105016,0.8958155,23.8,8.2,0.0,48.8,0.2977563917636871,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.84036285,0.8229992,30.0,10.0,0.0,62.0
9,0.01,0.0,0.01,506,0.30587160885334014,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.86842316,0.8732897,23.2,8.8,0.0,48.8,0.23693972527980806,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.9189919,0.9251417,33.0,7.0,0.0,62.0
