config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.4,0.0,506,0.29601332545280457,0.8953846216201782,0.85223645,1.0,0.73846155,0.9200352,0.7931458,0.8746549,0.87564576,19.2,6.8,0.0,39.0,0.2961136221885681,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8706341,0.87638915,24.2,7.8,0.0,48.8
1,0.01,0.2,0.0,506,0.2838015556335449,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.8822485,0.87258184,19.6,6.4,0.0,39.0,0.31158636808395385,0.8960185289382935,0.8546915,1.0,0.7375,0.9212176,0.7936142,0.87804127,0.87252265,23.6,8.4,0.0,48.8
2,0.01,0.2,0.0,506,0.2960283935070038,0.8861538529396057,0.84453505,0.9948718,0.72307694,0.91322917,0.77394927,0.9098619,0.91906136,18.8,7.2,0.2,38.8,0.3054453402757645,0.8936728477478028,0.85166883,1.0,0.73125,0.9195452,0.7888578,0.87928486,0.8810091,23.4,8.6,0.0,48.8
3,0.01,0.4,0.0,506,0.2768099159002304,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.8049437,0.9054241,0.9042574,19.6,6.4,0.0,39.0,0.2862268388271332,0.9059876561164856,0.8661111,1.0,0.7625,0.92805177,0.8124612,0.89663047,0.8976631,24.4,7.6,0.0,48.8
4,0.01,0.4,0.001,506,0.2902597963809967,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208828,0.7939527,0.8865878,0.88966715,19.2,6.8,0.0,39.0,0.31423498392105104,0.8961111187934876,0.8542646,1.0,0.7375,0.9211413,0.79350483,0.8690423,0.86784,23.6,8.4,0.0,48.8
5,0.01,0.2,0.0001,506,0.3180559158325195,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.769775,0.86331356,0.87760276,18.4,7.6,0.0,39.0,0.3023613214492798,0.8985802412033081,0.85842544,1.0,0.74375,0.92325133,0.7984567,0.8732821,0.87271434,23.8,8.2,0.0,48.8
6,0.01,0.2,0.0,506,0.3195855557918549,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.8828403,0.8789032,18.4,7.6,0.0,39.0,0.3120664983987808,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8883956,0.89397514,23.8,8.2,0.0,48.8
7,0.01,0.2,0.0,506,0.3059180349111557,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.85779095,0.8549363,19.0,7.0,0.0,39.0,0.284695565700531,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.8850233,0.8710601,24.4,7.6,0.0,48.8
8,0.01,0.0,0.0,506,0.3213083326816559,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.8538462,0.8547389,18.6,7.4,0.0,39.0,0.30583863854408266,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.89134645,0.89335763,23.8,8.2,0.0,48.8
9,0.01,0.0,0.0,506,0.27375048100948335,0.9076923131942749,0.86821425,1.0,0.7692307,0.9290458,0.81693715,0.8947732,0.88190854,20.0,6.0,0.0,39.0,0.3120671629905701,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.86972654,0.8705708,23.2,8.8,0.0,48.8
