config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0001,506,0.32719818949699403,0.8830769300460816,0.85283184,0.97435904,0.74615383,0.9092598,0.761364,0.8776134,0.8861472,19.4,6.6,1.0,38.0,0.33288879990577697,0.8737037181854248,0.8577035,0.95085037,0.75625,0.9012151,0.73735654,0.8893999,0.8923637,24.2,7.8,2.4,46.4
1,0.01,0.0,0.0001,506,0.3238379716873169,0.8830769300460816,0.85384524,0.9743589,0.7461539,0.90949976,0.7622454,0.8804733,0.880047,19.4,6.6,1.0,38.0,0.35724029541015623,0.8737963080406189,0.8486109,0.96734697,0.73125,0.90237635,0.74542093,0.8559138,0.8565489,23.4,8.6,1.6,47.2
2,0.01,0.0,0.0001,506,0.3699160575866699,0.8615384697914124,0.83863723,0.95384616,0.72307694,0.89200914,0.71489555,0.86824465,0.86403483,18.8,7.2,1.8,37.2,0.3514995574951172,0.8714506030082703,0.84410113,0.96734697,0.725,0.90135443,0.73362315,0.87342817,0.87567616,23.2,8.8,1.6,47.2
3,0.01,0.0,0.0001,506,0.297801873087883,0.8984615445137024,0.86257756,0.9897436,0.7615384,0.9214748,0.7960226,0.90226823,0.91420114,19.8,6.2,0.4,38.6,0.32553657293319704,0.8911419749259949,0.86261827,0.9754251,0.7625,0.9155159,0.7757236,0.8791002,0.8733819,24.4,7.6,1.2,47.6
4,0.01,0.0,0.0001,506,0.3396511167287827,0.8676923155784607,0.84905946,0.95384616,0.7384616,0.8973999,0.7261257,0.8646943,0.85835826,19.2,6.8,1.8,37.2,0.40517953038215637,0.873796284198761,0.8522757,0.9589286,0.74375,0.9020111,0.73836863,0.85482836,0.843372,23.8,8.2,2.0,46.8
5,0.01,0.0,0.0001,506,0.37149221301078794,0.855384624004364,0.83078957,0.95384616,0.70769227,0.88773984,0.70192254,0.8457594,0.84247524,18.4,7.6,1.8,37.2,0.35126711130142213,0.8786728382110596,0.8524636,0.9710034,0.7375,0.9065282,0.75444835,0.86946356,0.86230004,23.6,8.4,1.4,47.4
6,0.01,0.0,0.0001,506,0.356414270401001,0.8800000071525573,0.83744925,0.9948718,0.70769227,0.9090784,0.76163185,0.8325443,0.80753404,18.4,7.6,0.2,38.8,0.3511233121156693,0.8786111116409302,0.8559467,0.9630102,0.75,0.90592754,0.7482658,0.8627578,0.85252935,24.0,8.0,1.8,47.0
7,0.01,0.0,0.0001,506,0.34260923266410825,0.8707692384719848,0.8452064,0.96410257,0.7307693,0.8998264,0.736517,0.86193293,0.8682334,19.0,7.0,1.4,37.6,0.31784358620643616,0.8886419773101807,0.86198175,0.9713435,0.7625,0.91335887,0.769913,0.88108253,0.86375505,24.4,7.6,1.4,47.4
8,0.01,0.0,0.0001,506,0.37913387417793276,0.8492307782173156,0.8332056,0.9384616,0.7153846,0.88225806,0.6854591,0.85069025,0.8564331,18.6,7.4,2.4,36.6,0.35996221005916595,0.8812037110328674,0.8547109,0.9713435,0.74375,0.9087833,0.75480783,0.87243164,0.8729205,23.8,8.2,1.4,47.4
9,0.01,0.0,0.0001,506,0.2896867901086807,0.8953846216201782,0.8728407,0.9692308,0.7846154,0.9180188,0.7845291,0.9010849,0.88948613,20.4,5.6,1.2,37.8,0.3568892240524292,0.8762345671653747,0.8453066,0.9754251,0.725,0.9052359,0.7469827,0.8453857,0.8346783,23.2,8.8,1.2,47.6
0,0.01,0.2,0.0001,506,0.31682626008987425,0.8830769300460816,0.84950703,0.97948724,0.7384615,0.90953386,0.7636016,0.8892506,0.9000829,19.2,6.8,0.8,38.2,0.32940647602081297,0.8786419868469239,0.8587128,0.95901364,0.75625,0.90543795,0.74886674,0.8829135,0.8841119,24.2,7.8,2.0,46.8
1,0.01,0.2,0.0001,506,0.32687756717205046,0.8800000071525573,0.8529948,0.9692308,0.7461539,0.9069397,0.7537569,0.88303745,0.8887426,19.4,6.6,1.2,37.8,0.3566102147102356,0.8737963080406189,0.8486109,0.96734697,0.73125,0.90237635,0.74542093,0.8603648,0.8571021,23.4,8.6,1.6,47.2
2,0.01,0.2,0.0001,506,0.3659484386444092,0.8646153926849365,0.8395624,0.95897436,0.72307694,0.8946904,0.72241384,0.8601578,0.8595673,18.8,7.2,1.6,37.4,0.35127376914024355,0.873888897895813,0.8450241,0.9713435,0.725,0.903409,0.7404841,0.87116146,0.8824517,23.2,8.8,1.4,47.4
3,0.01,0.2,0.0001,506,0.29938388168811797,0.8953846216201782,0.8619715,0.9846153,0.7615384,0.91889304,0.7885157,0.8991125,0.9084817,19.8,6.2,0.6,38.4,0.3246607005596161,0.8936111092567444,0.8657352,0.9754251,0.76875,0.9172742,0.78063977,0.8716358,0.8740381,24.6,7.4,1.2,47.6
4,0.01,0.2,0.0001,506,0.34802197813987734,0.855384624004364,0.8470818,0.9333333,0.7384616,0.8865279,0.6998463,0.8571992,0.85444754,19.2,6.8,2.6,36.4,0.391795688867569,0.8663888812065125,0.85001916,0.9466837,0.74375,0.89541423,0.7212327,0.8511454,0.84522086,23.8,8.2,2.6,46.2
5,0.01,0.2,0.0001,506,0.37103955149650575,0.855384624004364,0.83149564,0.95384616,0.70769227,0.8880604,0.7010412,0.8357002,0.83514416,18.4,7.6,1.8,37.2,0.36063193082809447,0.8737345695495605,0.85388535,0.95875853,0.74375,0.9018308,0.7425317,0.8643402,0.8663675,23.8,8.2,2.0,46.8
6,0.01,0.2,0.0001,506,0.358277702331543,0.8769230842590332,0.836599,0.9897436,0.70769227,0.9065183,0.7531432,0.83570015,0.82185876,18.4,7.6,0.4,38.6,0.3511913061141968,0.8810802459716797,0.85641813,0.96709186,0.75,0.9080187,0.75403607,0.85665923,0.84563273,24.0,8.0,1.6,47.2
7,0.01,0.2,0.0001,506,0.3425792992115021,0.8707692384719848,0.845096,0.96410257,0.7307693,0.89983815,0.73600006,0.86449707,0.8690227,19.0,7.0,1.4,37.6,0.32772048115730285,0.888611114025116,0.8646394,0.9671769,0.76875,0.9129391,0.76939976,0.87668467,0.8751629,24.6,7.4,1.6,47.2
